ts,consumer1,consumer2
2019-02-01 02:57:00,307.6599,322.7198
2019-02-01 02:58:00,273.4329,284.6906
2019-02-01 02:59:00,275.4888,260.4969
2019-02-01 03:00:00,268.5874,268.9920
2019-02-01 03:01:00,368.2139,382.1937
2019-02-01 03:02:00,360.5306,399.5188
2019-02-01 03:03:00,343.8172,367.7619
2019-02-01 03:04:00,326.2058,385.3752
2019-02-01 03:05:00,336.9593,380.6856
2019-02-01 03:06:00,303.8172,369.6824
2019-02-01 03:07:00,311.8487,361.8956
2019-02-01 03:08:00,343.7401,376.5355
2019-02-01 03:09:00,327.2248,380.3245
2019-02-01 03:10:00,322.3683,344.5506
2019-02-01 03:11:00,330.7250,328.2601
2019-02-01 03:12:00,331.5465,323.2261
2019-02-01 03:13:00,323.5418,335.6870
2019-02-01 03:14:00,340.2592,331.1398
2019-02-01 03:15:00,294.7655,302.4308
2019-02-01 03:16:00,354.0961,403.4339
2019-02-01 03:17:00,371.1284,382.8798
2019-02-01 03:18:00,341.8777,366.8887
2019-02-01 03:19:00,358.1906,373.5822
2019-02-01 03:20:00,370.7342,358.7188
2019-02-01 03:21:00,343.9435,366.7470
2019-02-01 03:22:00,337.9527,378.5038
2019-02-01 03:23:00,416.5860,369.2634
2019-02-01 03:24:00,367.8292,346.3524
2019-02-01 03:25:00,361.8650,330.6858
2019-02-01 03:26:00,352.3228,295.8010
2019-02-01 03:27:00,349.1596,371.3095
2019-02-01 03:28:00,332.6146,321.7543
2019-02-01 03:29:00,305.6748,308.5576
2019-02-01 03:30:00,304.1608,317.4103
2019-02-01 03:31:00,384.7100,362.3509
2019-02-01 03:32:00,354.3380,361.1293
2019-02-01 03:33:00,373.1039,359.1335
2019-02-01 03:34:00,362.5911,383.8472
2019-02-01 03:35:00,360.5829,363.6490
2019-02-01 03:36:00,365.9935,357.4605
2019-02-01 03:37:00,360.8335,369.2066
2019-02-01 03:38:00,394.7850,379.2506
2019-02-01 03:39:00,369.9593,363.0385
2019-02-01 03:40:00,346.1321,371.0392
2019-02-01 03:41:00,327.7022,333.3733
2019-02-01 03:42:00,380.0299,364.7884
2019-02-01 03:43:00,377.0681,335.6254
2019-02-01 03:44:00,333.2939,351.5852
2019-02-01 03:45:00,321.6362,337.9016
2019-02-01 03:46:00,384.3772,363.8914
2019-02-01 03:47:00,377.6525,333.2417
2019-02-01 03:48:00,366.6807,317.4136
2019-02-01 03:49:00,401.9969,368.1482
2019-02-01 03:50:00,399.7359,322.4686
2019-02-01 03:51:00,372.3655,337.3266
2019-02-01 03:52:00,354.0486,337.5950
2019-02-01 03:53:00,389.4142,367.7367
2019-02-01 03:54:00,372.4561,345.5828
2019-02-01 03:55:00,354.7516,340.3712
2019-02-01 03:56:00,311.8900,317.6697
2019-02-01 03:57:00,349.8521,349.0704
2019-02-01 03:58:00,354.3830,333.1385
2019-02-01 03:59:00,361.6503,326.3596
2019-02-01 04:00:00,326.7239,311.0192
2019-02-01 04:01:00,438.2861,407.0269
2019-02-01 04:02:00,433.2274,411.0138
2019-02-01 04:03:00,386.2042,393.6380
2019-02-01 04:04:00,442.1680,400.0802
2019-02-01 04:05:00,406.5975,399.0023
2019-02-01 04:06:00,381.5799,397.0318
2019-02-01 04:07:00,403.4689,393.7634
2019-02-01 04:08:00,401.5600,412.9811
2019-02-01 04:09:00,435.7437,402.3133
2019-02-01 04:10:00,420.6208,387.2875
2019-02-01 04:11:00,393.1275,417.8827
2019-02-01 04:12:00,386.6160,428.0373
2019-02-01 04:13:00,410.4281,411.8841
2019-02-01 04:14:00,368.0800,360.6496
2019-02-01 04:15:00,340.3734,390.2364
2019-02-01 04:16:00,434.6071,501.7305
2019-02-01 04:17:00,440.4753,424.9451
2019-02-01 04:18:00,403.5759,423.1358
2019-02-01 04:19:00,440.3112,463.2241
2019-02-01 04:20:00,456.3238,425.0897
2019-02-01 04:21:00,387.0609,429.1948
2019-02-01 04:22:00,401.5041,420.2357
2019-02-01 04:23:00,441.9796,457.0283
2019-02-01 04:24:00,479.5784,428.4321
2019-02-01 04:25:00,420.4336,428.9468
2019-02-01 04:26:00,402.5176,448.4397
2019-02-01 04:27:00,479.7726,427.3843
2019-02-01 04:28:00,454.4698,403.3859
2019-02-01 04:29:00,422.0134,399.9404
2019-02-01 04:30:00,420.0615,388.5721
2019-02-01 04:31:00,483.6135,503.4943
2019-02-01 04:32:00,471.2102,508.7240
2019-02-01 04:33:00,443.3347,423.5835
2019-02-01 04:34:00,472.9614,495.9088
2019-02-01 04:35:00,468.8725,474.6543
2019-02-01 04:36:00,465.5064,450.1328
2019-02-01 04:37:00,459.3823,452.1093
2019-02-01 04:38:00,503.1386,497.2836
2019-02-01 04:39:00,493.3793,486.9771
2019-02-01 04:40:00,483.3527,469.0721
2019-02-01 04:41:00,480.9733,509.5168
2019-02-01 04:42:00,492.3684,456.9777
2019-02-01 04:43:00,457.4736,451.0657
2019-02-01 04:44:00,411.8461,456.3043
2019-02-01 04:45:00,456.2300,423.9635
2019-02-01 04:46:00,557.8238,540.0275
2019-02-01 04:47:00,489.7696,488.7027
2019-02-01 04:48:00,460.2478,474.5359
2019-02-01 04:49:00,518.9953,512.9322
2019-02-01 04:50:00,511.5416,506.7622
2019-02-01 04:51:00,477.4464,502.5316
2019-02-01 04:52:00,451.9275,478.0021
2019-02-01 04:53:00,553.0971,490.9997
2019-02-01 04:54:00,489.4655,529.1418
2019-02-01 04:55:00,485.8624,495.1477
2019-02-01 04:56:00,463.8687,483.2977
2019-02-01 04:57:00,501.5328,528.6230
2019-02-01 04:58:00,511.7965,505.6828
2019-02-01 04:59:00,485.2304,467.3019
2019-02-01 05:00:00,467.8981,482.4908
2019-02-01 05:01:00,532.5333,589.6327
2019-02-01 05:02:00,550.9708,622.9136
2019-02-01 05:03:00,525.2095,605.9726
2019-02-01 05:04:00,591.8398,613.3937
2019-02-01 05:05:00,563.0301,585.2666
2019-02-01 05:06:00,531.2495,591.3387
2019-02-01 05:07:00,500.3236,546.6952
2019-02-01 05:08:00,592.9982,580.5829
2019-02-01 05:09:00,545.8351,513.2476
2019-02-01 05:10:00,584.4278,530.7857
2019-02-01 05:11:00,511.2118,494.9145
2019-02-01 05:12:00,539.2934,556.2571
2019-02-01 05:13:00,539.2308,540.2912
2019-02-01 05:14:00,510.9123,517.7881
2019-02-01 05:15:00,528.0473,473.3696
2019-02-01 05:16:00,621.6518,554.1759
2019-02-01 05:17:00,620.1378,546.5004
2019-02-01 05:18:00,589.2913,492.7603
2019-02-01 05:19:00,577.7847,526.8050
2019-02-01 05:20:00,605.5165,542.5185
2019-02-01 05:21:00,579.9814,537.2864
2019-02-01 05:22:00,539.1336,529.1303
2019-02-01 05:23:00,572.6921,593.8749
2019-02-01 05:24:00,570.7564,570.0162
2019-02-01 05:25:00,547.3991,567.5252
2019-02-01 05:26:00,513.5385,537.5859
2019-02-01 05:27:00,535.2310,522.3720
